Name,Filter,Product,Type,Operator,Value
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,Conductor,Time Schedules,Starts With,AZBN_BRU_BROKER_
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,storm Contact,Agent Groups,Starts With,AZBN_BRU_BROKER_
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,storm Contact,Queues,Starts With,AZBN_BRU_BROKER_
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,UC,Treatments,Starts With,AZBN_BRU_BROKER_
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_BROKER,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,Conductor,Services,Starts With,AZBN_BRU_CUSTOMER_
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,Conductor,Time Schedules,Starts With,AZBN_BRU_CUSTOMER_
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,storm Contact,Agent Groups,Starts With,AZBN_BRU_CUSTOMER_
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,storm Contact,Queues,Starts With,AZBN_BRU_CUSTOMER_
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,UC,Treatments,Starts With,AZBN_BRU_CUSTOMER_
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_CUSTOMER,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_BMW-1602_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_BMW-1602_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_BMW-1602_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_BMW-1602_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_BMW-1602_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1602,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_BMW-1603_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_BMW-1603_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_BMW-1603_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_BMW-1603_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_BMW-1603_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-1603,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1604_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1604_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1604_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1604_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_BMW-AGENT1604,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_BMW-AGENT1604_
